account_id,is_mule,mule_flag_date,alert_reason,flagged_by_branch
ACCT_023272,0,,,
ACCT_062177,0,,,
ACCT_194388,0,,,
ACCT_064626,0,,,
ACCT_063119,0,,,
ACCT_002840,0,,,
ACCT_027882,0,,,
ACCT_027529,0,,,
ACCT_163493,0,,,
ACCT_027813,0,,,
ACCT_163556,0,,,
ACCT_075530,0,,,
ACCT_136797,0,,,
ACCT_078397,0,,,
ACCT_082067,0,,,
ACCT_125381,0,,,
ACCT_081587,0,,,
ACCT_105217,0,,,
ACCT_082701,0,,,
ACCT_140927,0,,,
ACCT_006171,0,,,
ACCT_157045,0,,,
ACCT_108375,0,,,
ACCT_180794,0,,,
ACCT_042409,0,,,
ACCT_129018,0,,,
ACCT_071899,0,,,
ACCT_132132,0,,,
ACCT_160103,0,,,
ACCT_109569,0,,,
ACCT_168455,0,,,
ACCT_193006,0,,,
ACCT_191114,0,,,
ACCT_033098,0,,,
ACCT_126847,0,,,
ACCT_052096,0,,,
ACCT_077768,0,,,
ACCT_191226,0,,,
ACCT_078919,0,,,
ACCT_009828,0,,,
ACCT_123967,0,,,
ACCT_170872,0,,,
ACCT_138301,0,,,
ACCT_062886,0,,,
ACCT_111411,0,,,
ACCT_105742,0,,,
ACCT_176723,0,,,
ACCT_094665,0,,,
ACCT_062970,0,,,
ACCT_004563,0,,,
ACCT_177805,0,,,
ACCT_163561,0,,,
ACCT_117401,0,,,
ACCT_148400,0,,,
ACCT_110205,0,,,
ACCT_156613,0,,,
ACCT_140729,0,,,
ACCT_096378,0,,,
ACCT_009630,0,,,
ACCT_027370,0,,,
ACCT_028484,0,,,
ACCT_093584,0,,,
ACCT_121540,0,,,
ACCT_029883,0,,,
ACCT_133824,0,,,
ACCT_005716,0,,,
ACCT_062394,0,,,
ACCT_041454,0,,,
ACCT_073573,0,,,
ACCT_060936,0,,,
ACCT_182153,0,,,
ACCT_096001,0,,,
ACCT_013936,0,,,
ACCT_145662,0,,,
ACCT_001511,0,,,
ACCT_145496,0,,,
ACCT_184671,0,,,
ACCT_004557,0,,,
ACCT_075917,0,,,
ACCT_144425,0,,,
ACCT_097760,0,,,
ACCT_064272,0,,,
ACCT_168973,0,,,
ACCT_060384,0,,,
ACCT_004472,0,,,
ACCT_146790,0,,,
ACCT_109652,0,,,
ACCT_113465,0,,,
ACCT_111185,0,,,
ACCT_117200,0,,,
ACCT_052001,0,,,
ACCT_011765,0,,,
ACCT_104041,0,,,
ACCT_067721,0,,,
ACCT_154426,0,,,
ACCT_086689,0,,,
ACCT_009194,0,,,
ACCT_170787,0,,,
ACCT_015239,0,,,
ACCT_078033,0,,,
ACCT_103401,0,,,
ACCT_075038,0,,,
ACCT_053327,0,,,
ACCT_104421,0,,,
ACCT_154296,0,,,
ACCT_134430,0,,,
ACCT_089835,0,,,
ACCT_048666,0,,,
ACCT_027713,0,,,
ACCT_047693,0,,,
ACCT_054120,0,,,
ACCT_077980,0,,,
ACCT_171601,0,,,
ACCT_101228,0,,,
ACCT_088481,0,,,
ACCT_031407,0,,,
ACCT_194435,0,,,
ACCT_147568,0,,,
ACCT_171859,0,,,
ACCT_164814,0,,,
ACCT_071147,0,,,
ACCT_134212,0,,,
ACCT_152537,0,,,
ACCT_196007,0,,,
ACCT_006969,0,,,
ACCT_073656,0,,,
ACCT_057248,0,,,
ACCT_131569,0,,,
ACCT_035991,0,,,
ACCT_081371,0,,,
ACCT_042853,0,,,
ACCT_082286,0,,,
ACCT_197226,0,,,
ACCT_000861,0,,,
ACCT_113295,0,,,
ACCT_054403,0,,,
ACCT_178956,0,,,
ACCT_117157,0,,,
ACCT_117851,0,,,
ACCT_004037,0,,,
ACCT_131129,0,,,
ACCT_002834,0,,,
ACCT_026188,0,,,
ACCT_190560,0,,,
ACCT_071530,0,,,
ACCT_011420,0,,,
ACCT_136953,0,,,
ACCT_052753,0,,,
ACCT_050895,0,,,
ACCT_104974,0,,,
ACCT_070188,0,,,
ACCT_066916,0,,,
ACCT_049380,0,,,
ACCT_016605,0,,,
ACCT_065691,0,,,
ACCT_158738,0,,,
ACCT_033946,0,,,
ACCT_021456,0,,,
ACCT_037405,0,,,
ACCT_127370,0,,,
ACCT_191660,0,,,
ACCT_053206,0,,,
ACCT_156248,0,,,
ACCT_177925,0,,,
ACCT_168603,0,,,
ACCT_103217,0,,,
ACCT_179676,0,,,
ACCT_140791,0,,,
ACCT_072935,0,,,
ACCT_196557,0,,,
ACCT_197475,0,,,
ACCT_005533,0,,,
ACCT_102572,0,,,
ACCT_013576,0,,,
ACCT_067926,0,,,
ACCT_054287,0,,,
ACCT_006884,0,,,
ACCT_169994,0,,,
ACCT_164616,0,,,
ACCT_183124,0,,,
ACCT_169885,0,,,
ACCT_191716,0,,,
ACCT_023576,0,,,
ACCT_197905,0,,,
ACCT_140032,0,,,
ACCT_056362,0,,,
ACCT_166174,0,,,
ACCT_037896,0,,,
ACCT_124084,0,,,
ACCT_178551,0,,,
ACCT_079405,0,,,
ACCT_103148,0,,,
ACCT_025563,0,,,
ACCT_012900,0,,,
ACCT_017755,0,,,
ACCT_149834,0,,,
ACCT_102235,0,,,
ACCT_183193,0,,,
ACCT_097171,0,,,
ACCT_036900,0,,,
ACCT_068301,0,,,
ACCT_061124,0,,,
ACCT_110635,0,,,
ACCT_047448,0,,,
ACCT_168764,0,,,
ACCT_106283,0,,,
ACCT_132878,0,,,
ACCT_168187,0,,,
ACCT_123269,0,,,
ACCT_038564,0,,,
ACCT_190789,0,,,
ACCT_023721,0,,,
ACCT_073001,0,,,
ACCT_025803,0,,,
ACCT_013486,0,,,
ACCT_071019,0,,,
ACCT_131041,0,,,
ACCT_103046,0,,,
ACCT_186566,0,,,
ACCT_151927,0,,,
ACCT_012330,0,,,
ACCT_145380,0,,,
ACCT_161048,0,,,
ACCT_155740,0,,,
ACCT_061873,0,,,
ACCT_006043,0,,,
ACCT_015700,0,,,
ACCT_065385,0,,,
ACCT_127897,0,,,
ACCT_046838,0,,,
ACCT_159382,0,,,
ACCT_005401,0,,,
ACCT_167692,0,,,
ACCT_072929,0,,,
ACCT_027904,0,,,
ACCT_097756,0,,,
ACCT_086512,0,,,
ACCT_190435,0,,,
ACCT_173343,0,,,
ACCT_054404,0,,,
ACCT_068110,0,,,
ACCT_190986,0,,,
ACCT_156574,0,,,
ACCT_192845,0,,,
ACCT_089199,0,,,
ACCT_020691,0,,,
ACCT_142728,0,,,
ACCT_028820,0,,,
ACCT_018284,0,,,
ACCT_020545,0,,,
ACCT_088488,0,,,
ACCT_023333,0,,,
ACCT_003465,0,,,
ACCT_070555,0,,,
ACCT_098076,0,,,
ACCT_018944,0,,,
ACCT_102437,0,,,
ACCT_001483,0,,,
ACCT_080440,0,,,
ACCT_056727,0,,,
ACCT_176166,0,,,
ACCT_110993,0,,,
ACCT_001675,0,,,
ACCT_096756,0,,,
ACCT_054581,0,,,
ACCT_028560,0,,,
ACCT_067306,0,,,
ACCT_057394,0,,,
ACCT_189088,0,,,
ACCT_091899,0,,,
ACCT_178006,0,,,
ACCT_195683,0,,,
ACCT_146111,0,,,
ACCT_109679,0,,,
ACCT_075950,0,,,
ACCT_117075,0,,,
ACCT_121702,0,,,
ACCT_089092,0,,,
ACCT_141497,0,,,
ACCT_077084,0,,,
ACCT_037147,0,,,
ACCT_114506,0,,,
ACCT_186376,0,,,
ACCT_077005,0,,,
ACCT_196682,0,,,
ACCT_085312,0,,,
ACCT_103777,0,,,
ACCT_105463,0,,,
ACCT_046265,0,,,
ACCT_001015,0,,,
ACCT_076573,0,,,
ACCT_113744,0,,,
ACCT_166639,0,,,
ACCT_185457,0,,,
ACCT_170555,0,,,
ACCT_047767,0,,,
ACCT_173646,0,,,
ACCT_148193,0,,,
ACCT_196576,0,,,
ACCT_012583,0,,,
ACCT_011194,0,,,
ACCT_049264,0,,,
ACCT_199183,0,,,
ACCT_134413,0,,,
ACCT_168706,0,,,
ACCT_156251,0,,,
ACCT_182985,0,,,
ACCT_004049,0,,,
ACCT_096560,0,,,
ACCT_038074,0,,,
ACCT_102844,0,,,
ACCT_019771,0,,,
ACCT_124825,0,,,
ACCT_018830,0,,,
ACCT_160038,0,,,
ACCT_068548,0,,,
ACCT_097666,0,,,
ACCT_040015,0,,,
ACCT_110618,0,,,
ACCT_059275,0,,,
ACCT_195179,0,,,
ACCT_014801,0,,,
ACCT_085671,0,,,
ACCT_062953,0,,,
ACCT_199742,0,,,
ACCT_117101,0,,,
ACCT_001382,0,,,
ACCT_067457,0,,,
ACCT_053548,0,,,
ACCT_043887,0,,,
ACCT_052463,0,,,
ACCT_197311,0,,,
ACCT_168897,0,,,
ACCT_064799,0,,,
ACCT_027675,0,,,
ACCT_138932,0,,,
ACCT_104102,0,,,
ACCT_181395,0,,,
ACCT_090347,0,,,
ACCT_000688,0,,,
ACCT_176487,0,,,
ACCT_188961,0,,,
ACCT_107112,0,,,
ACCT_028032,0,,,
ACCT_083189,0,,,
ACCT_125330,0,,,
ACCT_194649,0,,,
ACCT_099534,0,,,
ACCT_070922,0,,,
ACCT_081622,0,,,
ACCT_074338,0,,,
ACCT_070465,0,,,
ACCT_103622,0,,,
ACCT_182622,0,,,
ACCT_052228,0,,,
ACCT_042261,0,,,
ACCT_142594,0,,,
ACCT_079159,0,,,
ACCT_084490,0,,,
ACCT_005443,0,,,
ACCT_058968,0,,,
ACCT_098437,0,,,
ACCT_186093,0,,,
ACCT_153003,0,,,
ACCT_044453,0,,,
ACCT_026253,0,,,
ACCT_157601,0,,,
ACCT_093212,0,,,
ACCT_131674,0,,,
ACCT_166175,0,,,
ACCT_151501,0,,,
ACCT_139189,0,,,
ACCT_152096,0,,,
ACCT_155307,0,,,
ACCT_161079,0,,,
ACCT_074435,0,,,
ACCT_089206,0,,,
ACCT_174122,0,,,
ACCT_002617,0,,,
ACCT_025200,0,,,
ACCT_173882,0,,,
ACCT_100320,0,,,
ACCT_063422,0,,,
ACCT_025243,0,,,
ACCT_103584,0,,,
ACCT_084981,0,,,
ACCT_053018,0,,,
ACCT_068150,0,,,
ACCT_039175,0,,,
ACCT_102383,0,,,
ACCT_173099,0,,,
ACCT_144799,0,,,
ACCT_020101,0,,,
ACCT_014496,0,,,
ACCT_091024,0,,,
ACCT_179754,0,,,
ACCT_046773,0,,,
ACCT_000930,0,,,
ACCT_095633,0,,,
ACCT_175668,0,,,
ACCT_062513,0,,,
ACCT_148277,0,,,
ACCT_137660,0,,,
