customer_id,loan_sum,loan_count,cc_sum,cc_count,od_sum,od_count,ka_sum,ka_count,sa_sum,sa_count
CUST_000001,,0,-75964.52,1,0.0,0,0.0,0,1526.01,1
CUST_000006,,0,,0,-52331.47,1,0.0,0,0.0,0
CUST_000041,,0,,0,0.0,0,0.0,0,0.0,1
CUST_000051,,0,,0,0.0,0,0.0,0,7338.07,1
CUST_000059,,0,,0,0.0,0,0.0,0,12472.12,1
CUST_000072,,0,,0,0.0,0,0.0,0,1729.51,1
CUST_000077,-84204.16,1,,0,0.0,0,0.0,0,1787.19,1
CUST_000082,,0,,0,0.0,0,-10906.88,1,0.0,0
CUST_000085,,0,,0,0.0,0,0.0,0,26521.73,1
CUST_000102,-1095658.52,3,,0,0.0,0,13881.02,1,0.0,0
CUST_000115,-464238.07,3,,0,0.0,0,41688.42,1,0.0,0
CUST_000132,-1453803.9,1,,0,0.0,0,0.0,0,62949.04,1
CUST_000156,-303405.59,3,,0,0.0,0,0.0,0,39906.93,1
CUST_000170,,0,,0,0.0,0,0.0,0,0.0,1
CUST_000184,-96016.26,2,,0,0.0,0,0.0,0,351.87,1
CUST_000186,,0,-25034.45,2,0.0,0,0.0,0,2466.38,1
CUST_000190,,0,-66436.15,2,-118521.3,1,0.0,0,0.0,0
CUST_000192,,0,,0,0.0,0,0.0,0,-648.11,1
CUST_000197,,0,,0,0.0,0,0.0,0,288.32,1
CUST_000202,,0,,0,0.0,0,0.0,0,51800.9,1
CUST_000207,,0,,0,-82361.43,1,0.0,0,0.0,0
CUST_000208,,0,-150861.2,2,0.0,0,3603.69,1,0.0,0
CUST_000215,,0,,0,0.0,0,0.0,0,0.0,1
CUST_000217,-166961.74,1,,0,0.0,0,280253.95,1,0.0,0
CUST_000222,,0,-50302.06,1,-97887.67,1,0.0,0,0.0,0
CUST_000223,,0,,0,0.0,0,0.0,0,11872.98,1
CUST_000224,,0,,0,0.0,0,0.0,0,3186.33,1
CUST_000229,-704411.23,2,,0,0.0,0,0.0,0,0.0,1
CUST_000237,-567476.78,3,,0,0.0,0,0.0,0,-527382.64,1
CUST_000238,,0,,0,0.0,0,0.0,0,0.0,1
CUST_000243,,0,-47793.78,2,0.0,0,0.0,0,12445.78,1
CUST_000245,,0,,0,0.0,0,0.0,0,20717.07,1
CUST_000246,,0,,0,-40868.22,1,0.0,0,0.0,0
CUST_000248,,0,28406.62,2,0.0,0,0.0,0,767.05,1
CUST_000249,-484558.32,3,,0,0.0,0,13446.51,1,0.0,0
CUST_000252,,0,,0,-106519.09,1,0.0,0,0.0,0
CUST_000254,,0,,0,0.0,0,0.0,0,13398.48,1
CUST_000256,,0,,0,0.0,0,0.0,0,-6010.38,1
CUST_000260,,0,,0,0.0,0,0.0,0,0.0,1
CUST_000266,,0,,0,0.0,0,0.0,0,-27840.73,1
CUST_000268,,0,,0,0.0,0,0.0,0,12771.4,1
CUST_000277,,0,,0,-77666.35,1,0.0,0,0.0,0
CUST_000281,,0,,0,0.0,0,1653.63,1,0.0,0
CUST_000284,,0,,0,-117761.71,1,0.0,0,0.0,0
CUST_000288,,0,,0,0.0,0,0.0,0,5123.53,1
CUST_000296,,0,,0,0.0,0,0.0,0,793.53,1
CUST_000297,,0,,0,0.0,0,1759.48,1,0.0,0
CUST_000299,,0,,0,-193759.6,1,0.0,0,0.0,0
CUST_000303,,0,,0,0.0,0,0.0,0,19195.65,1
CUST_000310,,0,57743.12,2,0.0,0,160506.16,1,0.0,0
CUST_000313,-785558.21,3,,0,0.0,0,0.0,0,-84270.28,1
CUST_000314,,0,,0,-436520.6,1,0.0,0,0.0,0
CUST_000316,,0,,0,0.0,0,100457.34,1,0.0,0
CUST_000323,-1114137.98,2,,0,0.0,0,0.0,0,378.5,1
CUST_000333,,0,,0,0.0,0,-5964.18,1,0.0,0
CUST_000334,,0,-51144.29,2,37130.33,1,0.0,0,0.0,0
CUST_000340,,0,-26359.52,2,0.0,0,706.8,1,0.0,0
CUST_000343,,0,-55403.23,1,0.0,0,0.0,0,5048.13,1
CUST_000350,-367735.73,3,,0,0.0,0,3324.5,1,0.0,0
CUST_000363,-210825.22,3,,0,0.0,0,0.0,0,57069.94,1
CUST_000364,,0,,0,0.0,0,0.0,0,704611.32,1
CUST_000365,,0,-12809.99,1,0.0,0,0.0,0,2890.87,1
CUST_000366,,0,,0,0.0,0,0.0,0,5548.7,2
CUST_000368,,0,,0,0.0,0,43134.87,1,0.0,0
CUST_000375,,0,,0,0.0,0,0.0,0,6030.44,1
CUST_000381,,0,,0,0.0,0,60972.41,1,0.0,0
CUST_000385,,0,,0,0.0,0,9541.14,1,0.0,0
CUST_000388,,0,,0,0.0,0,0.0,0,0.0,1
CUST_000393,,0,,0,0.0,0,0.0,0,980.28,1
CUST_000424,,0,,0,0.0,0,0.0,0,2305.29,1
CUST_000430,-250828.42,1,,0,0.0,0,7256.64,1,0.0,0
CUST_000433,-60497.91,1,,0,0.0,0,53612.73,1,0.0,0
CUST_000435,,0,,0,0.0,0,4558.77,1,0.0,0
CUST_000449,,0,-27865.36,2,-65016.73,1,0.0,0,0.0,0
CUST_000450,,0,,0,0.0,0,0.0,0,202.86,1
CUST_000455,,0,,0,-142465.22,1,0.0,0,0.0,0
CUST_000460,,0,,0,0.0,0,1245.78,1,0.0,0
CUST_000463,,0,,0,0.0,0,6365.65,1,0.0,0
CUST_000465,,0,,0,0.0,0,5775.3,1,0.0,0
CUST_000467,,0,,0,0.0,0,34406.16,1,0.0,0
CUST_000473,,0,,0,0.0,0,31344.01,1,0.0,0
CUST_000476,,0,,0,0.0,0,0.0,0,156460.6,1
CUST_000481,,0,,0,0.0,0,0.0,0,1235.74,1
CUST_000495,,0,,0,0.0,0,0.0,0,18362.79,1
CUST_000499,,0,,0,0.0,0,0.0,0,15135.76,1
CUST_000502,-177877.34,2,,0,0.0,0,203951.74,1,0.0,0
CUST_000505,,0,,0,0.0,0,0.0,0,364.21,1
CUST_000511,,0,,0,-22672.44,1,0.0,0,0.0,0
CUST_000513,,0,,0,0.0,0,0.0,0,-23872.58,1
CUST_000520,,0,,0,0.0,0,0.0,0,1899.71,1
CUST_000521,-1063300.82,3,,0,0.0,0,0.0,0,26901.72,1
CUST_000523,,0,,0,0.0,0,0.0,0,2393.17,1
CUST_000525,,0,-27231.91,2,0.0,0,10712.87,1,0.0,0
CUST_000529,,0,,0,0.0,0,0.0,0,8759.14,1
CUST_000530,-207199.46,2,,0,0.0,0,11988972.83,1,0.0,0
CUST_000535,,0,,0,0.0,0,0.0,0,2487.56,1
CUST_000538,,0,,0,0.0,0,0.0,0,336556.45,1
